set,axis,stratum,row_set_id,row_set_canonical,row_set_n_names,interval_is_a_restatement,unit,convention,n,n_pairs,n_solutes,n_solvents,n_sources,sources,top_source,top_source_share_of_stratum_squared_error,share_of_squared_error,mse,b_insuff_up,margin,P_boot,margin_ci90_lo,margin_ci90_hi,ci90_excludes_zero,test_a_boundable,loso_testable,loso_n_deletions,loso_n_undefined,loso_n_leaving_unboundable,loso_margin_min,loso_margin_max,loso_worst_source,loso_worst_margin,loso_worst_n_remaining,test_b_sign_survives_loso,test_b_strict_remainder_boundable,admissible_this_cell,admissible_this_cell_strict,cells_reported,cells_admissible,cells_admissible_strict,admissible_in_every_cell,admissible_in_every_cell_strict,direction,licenses,reason_not_admissible
broad_477,solute_family,amine_NH,21661370,solute_family::amine_NH,1,False,row,full,12,12,7,2,1,10.1016/j.tca.2012.02.005,10.1016/j.tca.2012.02.005,1.0,0.0556,4.2267,,,,,,,False,False,1,1,1,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=12 < 40; the fixed cell is undefined at n=12
broad_477,solute_family,amine_NH,21661370,solute_family::amine_NH,1,False,row,res,12,12,7,2,1,10.1016/j.tca.2012.02.005,10.1016/j.tca.2012.02.005,1.0,0.0445,3.3615,,,,,,,False,False,1,1,1,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=12 < 40; the fixed cell is undefined at n=12
broad_477,solute_family,aromatic_hydrocarbon,6e3e217d,solute_family::aromatic_hydrocarbon,1,False,pair,full,32,32,10,9,7,10.1016/j.fluid.2013.06.028|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2013.05.006|10.1016/j.jct.2015.12.034|10.1016/j.jct.2018.05.003|10.1016/j.tca.2015.11.010|10.1021/je020196d,10.1016/j.fluid.2013.06.028,0.4393,0.0842,0.8176,0.5494,-0.2812,0.678,-0.902,1.454,False,False,True,7,0,7,-0.5701,0.1797,10.1016/j.jct.2013.05.006,0.1797,28.0,False,False,False,False,4,0,0,False,False,non-positive,"nothing: reported in the map, not stated as a finding",not boundable: n=32 < 40; sign does not survive deletion of 10.1016/j.jct.2013.05.006 (-0.281 -> +0.180)
broad_477,solute_family,aromatic_hydrocarbon,6e3e217d,solute_family::aromatic_hydrocarbon,1,False,pair,res,32,32,10,9,7,10.1016/j.fluid.2013.06.028|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2013.05.006|10.1016/j.jct.2015.12.034|10.1016/j.jct.2018.05.003|10.1016/j.tca.2015.11.010|10.1021/je020196d,10.1016/j.fluid.2013.06.028,0.4945,0.0752,0.6692,0.5494,-0.4296,0.609,-1.027,1.247,False,False,True,7,0,7,-0.8596,0.1638,10.1016/j.jct.2013.05.006,0.1638,28.0,False,False,False,False,4,0,0,False,False,non-positive,"nothing: reported in the map, not stated as a finding",not boundable: n=32 < 40; sign does not survive deletion of 10.1016/j.jct.2013.05.006 (-0.430 -> +0.164)
broad_477,solute_family,aromatic_hydrocarbon,301c4272,solute_family::aromatic_hydrocarbon,1,False,row,full,71,32,10,9,7,10.1016/j.fluid.2013.06.028|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2013.05.006|10.1016/j.jct.2015.12.034|10.1016/j.jct.2018.05.003|10.1016/j.tca.2015.11.010|10.1021/je020196d,10.1021/je020196d,0.5529,0.0524,0.673,0.3718,-0.0707,0.623,-0.865,0.933,False,True,True,7,0,1,-0.6125,0.1162,10.1016/j.jct.2013.05.006,0.1162,67.0,False,False,False,False,4,0,0,False,False,non-positive,"nothing: reported in the map, not stated as a finding",sign does not survive deletion of 10.1016/j.jct.2013.05.006 (-0.071 -> +0.116)
broad_477,solute_family,aromatic_hydrocarbon,301c4272,solute_family::aromatic_hydrocarbon,1,False,row,res,71,32,10,9,7,10.1016/j.fluid.2013.06.028|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2013.05.006|10.1016/j.jct.2015.12.034|10.1016/j.jct.2018.05.003|10.1016/j.tca.2015.11.010|10.1021/je020196d,10.1021/je020196d,0.5342,0.0418,0.5338,0.361,-0.1883,0.536,-1.007,0.745,False,True,True,7,0,1,-0.8596,0.0805,10.1016/j.jct.2013.05.006,0.0805,67.0,False,False,False,False,4,0,0,False,False,non-positive,"nothing: reported in the map, not stated as a finding",sign does not survive deletion of 10.1016/j.jct.2013.05.006 (-0.188 -> +0.081)
broad_477,solute_family,azine,9ff6ecfa,solute_family::azine,1,False,pair,full,6,6,5,2,1,10.1016/j.tca.2012.02.005,10.1016/j.tca.2012.02.005,1.0,0.0014,0.0723,,,,,,,False,False,1,1,1,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=6 < 40; the fixed cell is undefined at n=6
broad_477,solute_family,azine,9ff6ecfa,solute_family::azine,1,False,pair,res,6,6,5,2,1,10.1016/j.tca.2012.02.005,10.1016/j.tca.2012.02.005,1.0,0.0028,0.1348,,,,,,,False,False,1,1,1,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=6 < 40; the fixed cell is undefined at n=6
broad_477,solute_family,azine,5fffb44e,solute_family::azine,1,False,row,full,6,6,5,2,1,10.1016/j.tca.2012.02.005,10.1016/j.tca.2012.02.005,1.0,0.0005,0.0723,,,,,,,False,False,1,1,1,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=6 < 40; the fixed cell is undefined at n=6
broad_477,solute_family,azine,5fffb44e,solute_family::azine,1,False,row,res,6,6,5,2,1,10.1016/j.tca.2012.02.005,10.1016/j.tca.2012.02.005,1.0,0.0009,0.1348,,,,,,,False,False,1,1,1,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=6 < 40; the fixed cell is undefined at n=6
broad_477,solute_family,ester,80932306,solute_family::ester,1,False,pair,full,3,3,3,2,2,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.jct.2018.05.003,0.6341,0.0,0.0025,,,,,,,False,True,2,2,2,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=3 < 40; the fixed cell is undefined at n=3
broad_477,solute_family,ester,80932306,solute_family::ester,1,False,pair,res,3,3,3,2,2,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.fluid.2016.10.009,0.5623,0.0001,0.0134,,,,,,,False,True,2,2,2,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=3 < 40; the fixed cell is undefined at n=3
broad_477,solute_family,ester,c85c2971,solute_family::ester,1,False,row,full,3,3,3,2,2,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.jct.2018.05.003,0.6341,0.0,0.0025,,,,,,,False,True,2,2,2,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=3 < 40; the fixed cell is undefined at n=3
broad_477,solute_family,ester,c85c2971,solute_family::ester,1,False,row,res,3,3,3,2,2,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.fluid.2016.10.009,0.5623,0.0,0.0134,,,,,,,False,True,2,2,2,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=3 < 40; the fixed cell is undefined at n=3
broad_477,solute_family,ether,a4d38453,solute_family::ether,1,False,pair,full,4,4,3,3,3,10.1016/j.fluid.2015.01.010|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.fluid.2015.01.010,0.9884,0.0074,0.5773,,,,,,,False,True,3,3,3,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=4 < 40; the fixed cell is undefined at n=4
broad_477,solute_family,ether,a4d38453,solute_family::ether,1,False,pair,res,4,4,3,3,3,10.1016/j.fluid.2015.01.010|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.fluid.2015.01.010,0.8772,0.0027,0.1927,,,,,,,False,True,3,3,3,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=4 < 40; the fixed cell is undefined at n=4
broad_477,solute_family,ether,f292c335,solute_family::ether,1,False,row,full,12,4,3,3,3,10.1016/j.fluid.2015.01.010|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.fluid.2015.01.010,0.9986,0.0214,1.6282,,,,,,,False,True,3,3,3,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=12 < 40; the fixed cell is undefined at n=12
broad_477,solute_family,ether,f292c335,solute_family::ether,1,False,row,res,12,4,3,3,3,10.1016/j.fluid.2015.01.010|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.fluid.2015.01.010,0.9832,0.0062,0.469,,,,,,,False,True,3,3,3,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=12 < 40; the fixed cell is undefined at n=12
broad_477,solute_family,halogenated_aliphatic,4a4a26b3,solute_family::halogenated_aliphatic,1,False,pair,full,9,9,4,6,3,10.1016/j.fluid.2015.11.037|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.fluid.2015.11.037,0.9339,0.0334,1.1536,,,,,,,False,True,3,3,3,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=9 < 40; the fixed cell is undefined at n=9
broad_477,solute_family,halogenated_aliphatic,4a4a26b3,solute_family::halogenated_aliphatic,1,False,pair,res,9,9,4,6,3,10.1016/j.fluid.2015.11.037|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.fluid.2015.11.037,0.9427,0.0346,1.0964,,,,,,,False,True,3,3,3,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=9 < 40; the fixed cell is undefined at n=9
broad_477,solute_family,halogenated_aliphatic,19551593,solute_family::halogenated_aliphatic,1,False,row,full,27,9,4,6,3,10.1016/j.fluid.2015.11.037|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.fluid.2015.11.037,0.9851,0.0505,1.7064,0.1709,1.3646,0.999,0.151,2.064,True,False,True,3,1,3,1.3177,1.7981,10.1016/j.fluid.2016.10.009,1.3177,25.0,False,False,False,False,4,0,0,False,False,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=27 < 40; 1 of 3 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1016/j.fluid.2015.11.037), so the sign is not verifiable"
broad_477,solute_family,halogenated_aliphatic,19551593,solute_family::halogenated_aliphatic,1,False,row,res,27,9,4,6,3,10.1016/j.fluid.2015.11.037|10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003,10.1016/j.fluid.2015.11.037,0.9871,0.0485,1.631,0.2863,1.0583,0.997,0.146,1.988,True,False,True,3,1,3,1.2338,1.7088,10.1016/j.fluid.2016.10.009,1.2338,25.0,False,False,False,False,4,0,0,False,False,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=27 < 40; 1 of 3 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1016/j.fluid.2015.11.037), so the sign is not verifiable"
broad_477,solute_family,halogenated_aromatic,11aaa0c9,solute_family::halogenated_aromatic,1,False,pair,full,8,8,3,4,4,10.1016/j.fluid.2013.06.028|10.1016/j.jct.2013.05.006|10.1016/j.jct.2018.05.003|10.1016/j.tca.2015.11.010,10.1016/j.fluid.2013.06.028,0.741,0.0173,0.671,,,,,,,False,True,4,4,4,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=8 < 40; the fixed cell is undefined at n=8
broad_477,solute_family,halogenated_aromatic,11aaa0c9,solute_family::halogenated_aromatic,1,False,pair,res,8,8,3,4,4,10.1016/j.fluid.2013.06.028|10.1016/j.jct.2013.05.006|10.1016/j.jct.2018.05.003|10.1016/j.tca.2015.11.010,10.1016/j.fluid.2013.06.028,0.7541,0.0174,0.6192,,,,,,,False,True,4,4,4,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=8 < 40; the fixed cell is undefined at n=8
broad_477,solute_family,halogenated_aromatic,7f3ce883,solute_family::halogenated_aromatic,1,False,row,full,8,8,3,4,4,10.1016/j.fluid.2013.06.028|10.1016/j.jct.2013.05.006|10.1016/j.jct.2018.05.003|10.1016/j.tca.2015.11.010,10.1016/j.fluid.2013.06.028,0.741,0.0059,0.671,,,,,,,False,True,4,4,4,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=8 < 40; the fixed cell is undefined at n=8
broad_477,solute_family,halogenated_aromatic,7f3ce883,solute_family::halogenated_aromatic,1,False,row,res,8,8,3,4,4,10.1016/j.fluid.2013.06.028|10.1016/j.jct.2013.05.006|10.1016/j.jct.2018.05.003|10.1016/j.tca.2015.11.010,10.1016/j.fluid.2013.06.028,0.7541,0.0055,0.6192,,,,,,,False,True,4,4,4,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=8 < 40; the fixed cell is undefined at n=8
broad_477,solute_family,ketone,efa8de84,solute_family::ketone,1,False,pair,full,11,11,10,3,3,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003|10.1021/acs.jced.9b00726,10.1021/acs.jced.9b00726,0.9863,0.0241,0.6798,,,,,,,False,True,3,3,3,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=11 < 40; the fixed cell is undefined at n=11
broad_477,solute_family,ketone,efa8de84,solute_family::ketone,1,False,pair,res,11,11,10,3,3,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003|10.1021/acs.jced.9b00726,10.1021/acs.jced.9b00726,0.9843,0.0193,0.5007,,,,,,,False,True,3,3,3,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=11 < 40; the fixed cell is undefined at n=11
broad_477,solute_family,ketone,e7f61b41,solute_family::ketone,1,False,row,full,63,11,10,3,3,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003|10.1021/acs.jced.9b00726,10.1021/acs.jced.9b00726,0.998,0.056,0.8101,0.5694,-0.3287,0.573,-0.722,0.886,False,True,True,3,1,1,0.0358,0.0369,10.1016/j.fluid.2016.10.009,0.0369,62.0,False,False,False,False,4,0,0,False,False,non-positive,"nothing: reported in the map, not stated as a finding","1 of 3 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1021/acs.jced.9b00726), so the sign is not verifiable"
broad_477,solute_family,ketone,e7f61b41,solute_family::ketone,1,False,row,res,63,11,10,3,3,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2018.05.003|10.1021/acs.jced.9b00726,10.1021/acs.jced.9b00726,0.9978,0.0436,0.6275,0.5772,-0.527,0.543,-0.849,0.638,False,True,True,3,1,1,-0.1426,-0.1416,10.1016/j.fluid.2016.10.009,-0.1416,62.0,False,False,False,False,4,0,0,False,False,non-positive,"nothing: reported in the map, not stated as a finding","1 of 3 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1021/acs.jced.9b00726), so the sign is not verifiable"
broad_477,solute_family,mono_alcohol,8161c304,solute_family::mono_alcohol,1,False,pair,full,21,21,5,15,5,10.1016/j.fluid.2015.01.010|10.1016/j.fluid.2015.11.037|10.1016/j.fluid.2016.08.030|10.1016/j.jct.2018.05.003|10.1016/j.tca.2012.02.005,10.1016/j.tca.2012.02.005,0.764,0.1401,2.0719,0.4688,1.1342,0.983,0.256,2.888,True,False,True,5,1,5,1.0944,1.9481,10.1016/j.fluid.2015.11.037,1.0944,17.0,False,False,False,False,4,0,0,False,False,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=21 < 40; 1 of 5 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1016/j.tca.2012.02.005), so the sign is not verifiable"
broad_477,solute_family,mono_alcohol,8161c304,solute_family::mono_alcohol,1,False,pair,res,21,21,5,15,5,10.1016/j.fluid.2015.01.010|10.1016/j.fluid.2015.11.037|10.1016/j.fluid.2016.08.030|10.1016/j.jct.2018.05.003|10.1016/j.tca.2012.02.005,10.1016/j.tca.2012.02.005,0.6962,0.1274,1.728,0.4691,0.7897,0.975,0.197,2.315,True,False,True,5,1,5,0.6893,1.5458,10.1016/j.fluid.2015.11.037,0.6893,17.0,False,False,False,False,4,0,0,False,False,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=21 < 40; 1 of 5 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1016/j.tca.2012.02.005), so the sign is not verifiable"
